Probability,CI_95,CI_5,Posterior_Predictive,Posterior_Mode,Analysis
1.00E-05,65141.6401,29593.29295,50333.11921,43154.72,1d - CGR_3day_winter_precip_RRFT
2.00E-05,58010.78652,27920.08337,44964.71408,39532.57869,1d - CGR_3day_winter_precip_RRFT
5.00E-05,49518.48404,25754.96468,38730.67108,35059.54069,1d - CGR_3day_winter_precip_RRFT
0.0001,43690.8324,24145.82445,34581.10165,31901.1409,1d - CGR_3day_winter_precip_RRFT
0.0002,38522.40791,22515.46267,30850.71622,28925.87667,1d - CGR_3day_winter_precip_RRFT
0.0005,32444.46578,20372.17197,26473.84913,25257.48051,1d - CGR_3day_winter_precip_RRFT
0.001,28362.52151,18755.43923,23521.45291,22670.47825,1d - CGR_3day_winter_precip_RRFT
0.002,24668.89586,17123.0277,20832.77709,20234.95626,1d - CGR_3day_winter_precip_RRFT
0.005,20386.49838,15001.57391,17616.63902,17231.42863,1d - CGR_3day_winter_precip_RRFT
0.01,17522.48225,13373.53926,15396.39703,15109.6877,1d - CGR_3day_winter_precip_RRFT
0.02,14950.07092,11785.24198,13324.64215,13104.91742,1d - CGR_3day_winter_precip_RRFT
0.05,11902.69734,9655.811631,10765.25398,10610.64801,1d - CGR_3day_winter_precip_RRFT
0.1,9807.926412,8061.07537,8927.118894,8816.879047,1d - CGR_3day_winter_precip_RRFT
0.2,7813.459809,6468.654149,7130.895958,7066.90522,1d - CGR_3day_winter_precip_RRFT
0.3,6648.355686,5526.027002,6072.448901,6037.092533,1d - CGR_3day_winter_precip_RRFT
0.5,5112.207457,4260.792279,4668.721997,4670.535956,1d - CGR_3day_winter_precip_RRFT
0.7,3956.480643,3274.346903,3603.239647,3629.987387,1d - CGR_3day_winter_precip_RRFT
0.8,3401.731667,2775.738729,3086.03158,3123.592578,1d - CGR_3day_winter_precip_RRFT
0.9,2797.833391,2179.350067,2492.431226,2543.079027,1d - CGR_3day_winter_precip_RRFT
0.95,2402.920714,1766.213989,2088.054038,2151.108164,1d - CGR_3day_winter_precip_RRFT
0.98,2051.549368,1384.428962,1703.605371,1786.339484,1d - CGR_3day_winter_precip_RRFT
0.99,1854.738179,1167.639225,1479.703475,1580.600389,1d - CGR_3day_winter_precip_RRFT
1.00E-06,107010.9348,34194.7686,81288.40727,56433.63285,1e - CGR_3day_winter_paleoOnly_noPSI
2.00E-06,94968.75914,32564.39473,71723.39292,52052.64235,1e - CGR_3day_winter_paleoOnly_noPSI
5.00E-06,80799.41373,30390.24508,60869.85686,46637.01194,1e - CGR_3day_winter_paleoOnly_noPSI
1.00E-05,71446.85119,28764.66413,53815.66128,42809.34125,1e - CGR_3day_winter_paleoOnly_noPSI
2.00E-05,63014.72266,27151.37684,47612.02534,39200.93266,1e - CGR_3day_winter_paleoOnly_noPSI
5.00E-05,53312.64603,24996.89613,40524.10021,34748.92599,1e - CGR_3day_winter_paleoOnly_noPSI
0.0001,46756.63628,23356.27531,35880.51655,31608.23289,1e - CGR_3day_winter_paleoOnly_noPSI
0.0002,40967.03207,21737.08075,31764.0451,28651.92549,1e - CGR_3day_winter_paleoOnly_noPSI
0.0005,34285.79361,19671.92475,27009.81751,25010.09666,1e - CGR_3day_winter_paleoOnly_noPSI
0.001,29730.92346,18108.01434,23853.09777,22444.05307,1e - CGR_3day_winter_paleoOnly_noPSI
0.002,25774.43333,16565.33803,21012.95388,20030.01783,1e - CGR_3day_winter_paleoOnly_noPSI
0.005,21151.50591,14515.87396,17662.96565,17055.4218,1e - CGR_3day_winter_paleoOnly_noPSI
0.01,18015.72494,12985.09927,15378.77048,14955.78673,1e - CGR_3day_winter_paleoOnly_noPSI
0.02,15247.93222,11461.19853,13268.38119,12973.19287,1e - CGR_3day_winter_paleoOnly_noPSI
0.05,12052.3046,9453.116488,10688.11728,10508.24639,1e - CGR_3day_winter_paleoOnly_noPSI
0.1,9863.032418,7928.550356,8851.595824,8736.686413,1e - CGR_3day_winter_paleoOnly_noPSI
0.2,7819.798199,6385.625078,7068.277718,7009.143326,1e - CGR_3day_winter_paleoOnly_noPSI
0.3,6644.656145,5459.686211,6021.694397,5992.77527,1e - CGR_3day_winter_paleoOnly_noPSI
0.5,5100.386832,4218.017776,4637.379601,4644.110848,1e - CGR_3day_winter_paleoOnly_noPSI
0.7,3946.875947,3260.867416,3588.885642,3616.933472,1e - CGR_3day_winter_paleoOnly_noPSI
0.8,3401.822795,2774.662539,3080.592769,3116.825168,1e - CGR_3day_winter_paleoOnly_noPSI
0.9,2803.255556,2196.422815,2497.774397,2543.18606,1e - CGR_3day_winter_paleoOnly_noPSI
0.95,2413.289865,1788.900007,2100.942618,2155.545759,1e - CGR_3day_winter_paleoOnly_noPSI
0.98,2063.740798,1407.896504,1723.333423,1794.465932,1e - CGR_3day_winter_paleoOnly_noPSI
0.99,1875.282469,1192.154926,1502.876805,1590.606838,1e - CGR_3day_winter_paleoOnly_noPSI
1.00E-06,131287.4345,32040.18778,104906.1877,56056.07386,2a - CGR_3day_annual_syst
2.00E-06,115533.1529,30507.6484,89993.24736,51587.7351,2a - CGR_3day_annual_syst
5.00E-06,97458.05979,28404.73858,73759.21709,46094.86134,2a - CGR_3day_annual_syst
1.00E-05,85421.55076,26923.05906,63630.34655,42233.9639,2a - CGR_3day_annual_syst
2.00E-05,74705.12428,25436.72035,55017.15165,38611.10845,2a - CGR_3day_annual_syst
5.00E-05,62478.49229,23458.29736,45537.68686,34164.73375,2a - CGR_3day_annual_syst
0.0001,54275.91207,21980.37803,39550.62194,31044.17866,2a - CGR_3day_annual_syst
0.0002,46954.94181,20537.24139,34400.20402,28119.4617,2a - CGR_3day_annual_syst
0.0005,38660.20436,18669.52863,28647.64284,24533.88341,2a - CGR_3day_annual_syst
0.001,33251.9619,17241.04196,24953.00886,22019.23252,2a - CGR_3day_annual_syst
0.002,28536.72748,15833.03811,21721.96314,19662.55027,2a - CGR_3day_annual_syst
0.005,23051.22966,13987.20022,18031.76077,16770.6428,2a - CGR_3day_annual_syst
0.01,19443.17037,12611.557,15595.18363,14737.2117,2a - CGR_3day_annual_syst
0.02,16237.02907,11245.6145,13401.23941,12822.78159,2a - CGR_3day_annual_syst
0.05,12560.74074,9418.520787,10785.94669,10449.37263,2a - CGR_3day_annual_syst
0.1,10145.18549,8013.649279,8961.003291,8747.141965,2a - CGR_3day_annual_syst
0.2,7970.597198,6563.983056,7208.029641,7088.386329,2a - CGR_3day_annual_syst
0.3,6764.956744,5668.9804,6183.516576,6111.939696,2a - CGR_3day_annual_syst
0.5,5242.305192,4445.938383,4827.409886,4813.524607,2a - CGR_3day_annual_syst
0.7,4121.878288,3488.155647,3795.169015,3820.033592,2a - CGR_3day_annual_syst
0.8,3589.522217,3010.44534,3292.139879,3333.725432,2a - CGR_3day_annual_syst
0.9,2987.78038,2440.565747,2713.277868,2772.585499,2a - CGR_3day_annual_syst
0.95,2589.124398,2043.916194,2318.677696,2390.511512,2a - CGR_3day_annual_syst
0.98,2229.214787,1665.863588,1944.232058,2031.63024,2a - CGR_3day_annual_syst
0.99,2033.599931,1446.070918,1726.462866,1827.313858,2a - CGR_3day_annual_syst
1.00E-06,117079.5479,32210.14336,90777.58622,55803.81283,2b - CGR_3day_annual_hist
2.00E-06,103604.231,30671.45506,78996.92343,51424.54896,2b - CGR_3day_annual_hist
5.00E-06,87912.2975,28671.42973,65904.0699,46028.48047,2b - CGR_3day_annual_hist
1.00E-05,77477.83308,27172.88156,57569.23002,42226.63698,2b - CGR_3day_annual_hist
2.00E-05,68255.32394,25711.36976,50362.14679,38651.94724,2b - CGR_3day_annual_hist
5.00E-05,57415.64746,23739.82929,42287.07475,34254.3877,2b - CGR_3day_annual_hist
0.0001,50146.45798,22273.0302,37095.93812,31160.80783,2b - CGR_3day_annual_hist
0.0002,43721.07227,20841.94631,32568.48994,28255.50787,2b - CGR_3day_annual_hist
0.0005,36258.99028,18952.22639,27431.40881,24685.40787,2b - CGR_3day_annual_hist
0.001,31344.02107,17511.64297,24082.20965,22175.72675,2b - CGR_3day_annual_hist
0.002,26936.77609,16095.14657,21115.05289,19818.96317,2b - CGR_3day_annual_hist
0.005,21891.90959,14249.66932,17678.3472,16920.2216,2b - CGR_3day_annual_hist
0.01,18555.02631,12831.85911,15376.31711,14877.21319,2b - CGR_3day_annual_hist
0.02,15603.59176,11423.24451,13277.40003,12949.9068,2b - CGR_3day_annual_hist
0.05,12208.8415,9544.525384,10742.21188,10554.99347,2b - CGR_3day_annual_hist
0.1,9949.939443,8085.956048,8951.893908,8833.347272,2b - CGR_3day_annual_hist
0.2,7895.237808,6604.797831,7216.953815,7152.345359,2b - CGR_3day_annual_hist
0.3,6743.699812,5694.797926,6196.879746,6161.271869,2b - CGR_3day_annual_hist
0.5,5249.279686,4459.647091,4840.670214,4841.763089,2b - CGR_3day_annual_hist
0.7,4130.443974,3495.82564,3804.486977,3831.092068,2b - CGR_3day_annual_hist
0.8,3594.973833,3014.20036,3298.444867,3336.178737,2b - CGR_3day_annual_hist
0.9,2987.116075,2441.851698,2715.24072,2765.111989,2b - CGR_3day_annual_hist
0.95,2592.776985,2042.671933,2317.048935,2376.404223,2b - CGR_3day_annual_hist
0.98,2235.396599,1655.329113,1938.590297,2011.519528,2b - CGR_3day_annual_hist
0.99,2037.553645,1434.295427,1718.20964,1803.950337,2b - CGR_3day_annual_hist
1.00E-06,143932.6737,32032.33483,118178.6997,56533.87363,8a - CGR_3day_annual_syst_2018
2.00E-06,126289.446,30542.39102,100301.6294,52112.32481,8a - CGR_3day_annual_syst_2018
5.00E-06,106057.8237,28538.84367,81162.24168,46660.29602,8a - CGR_3day_annual_syst_2018
1.00E-05,92837.52959,27059.37069,69399.53311,42816.33326,8a - CGR_3day_annual_syst_2018
2.00E-05,80899.95309,25550.78703,59513.57873,39199.90627,8a - CGR_3day_annual_syst_2018
5.00E-05,67257.58643,23644.67465,48769.53233,34748.02433,8a - CGR_3day_annual_syst_2018
0.0001,58159.1877,22220.16124,42064.7654,31614.16929,8a - CGR_3day_annual_syst_2018
0.0002,50202.51489,20774.91618,36355.0258,28669.42751,8a - CGR_3day_annual_syst_2018
0.0005,41325.50935,18886.41806,30047.14739,25048.63084,8a - CGR_3day_annual_syst_2018
0.001,35492.46629,17496.9586,26041.0805,22501.79093,8a - CGR_3day_annual_syst_2018
0.002,30274.25172,16086.48727,22569.67121,20108.96129,8a - CGR_3day_annual_syst_2018
0.005,24238.63939,14206.11648,18644.8509,17164.28547,8a - CGR_3day_annual_syst_2018
0.01,20317.40886,12805.76138,16076.86435,15087.86703,8a - CGR_3day_annual_syst_2018
0.02,16916.28313,11400.46597,13778.16312,13128.28652,8a - CGR_3day_annual_syst_2018
0.05,13030.94416,9522.937974,11051.99135,10692.34138,8a - CGR_3day_annual_syst_2018
0.1,10490.55938,8086.187534,9156.257681,8940.693317,8a - CGR_3day_annual_syst_2018
0.2,8196.38764,6612.392209,7338.918072,7230.191894,8a - CGR_3day_annual_syst_2018
0.3,6945.366307,5701.241877,6278.398968,6221.764552,8a - CGR_3day_annual_syst_2018
0.5,5351.117959,4449.901463,4876.878047,4879.452654,8a - CGR_3day_annual_syst_2018
0.7,4181.452298,3465.902929,3812.592781,3851.855797,8a - CGR_3day_annual_syst_2018
0.8,3625.564557,2978.041238,3295.007479,3348.967314,8a - CGR_3day_annual_syst_2018
0.9,3008.723882,2400.509608,2700.34585,2769.103343,8a - CGR_3day_annual_syst_2018
0.95,2603.722302,1993.605736,2295.455533,2374.75951,8a - CGR_3day_annual_syst_2018
0.98,2235.118312,1607.266268,1911.164301,2004.949927,8a - CGR_3day_annual_syst_2018
0.99,2033.600445,1384.061118,1687.315657,1794.787108,8a - CGR_3day_annual_syst_2018
1.00E-06,101810.2092,29508.80823,81721.08134,48435.78656,8b - CGR_3day_annual_hist_2018
2.00E-06,90664.90373,28301.71131,71505.26117,45009.47393,8b - CGR_3day_annual_hist_2018
5.00E-06,77784.40369,26630.30735,60080.56303,40733.09541,8b - CGR_3day_annual_hist_2018
1.00E-05,69115.48026,25329.85009,52765.84392,37680.65775,8b - CGR_3day_annual_hist_2018
2.00E-05,61271.01479,24064.73348,46408.98824,34778.02411,8b - CGR_3day_annual_hist_2018
5.00E-05,52136.03737,22384.03434,39252.13245,31159.77849,8b - CGR_3day_annual_hist_2018
0.0001,45876.30172,21163.04753,34630.02503,28579.99985,8b - CGR_3day_annual_hist_2018
0.0002,40347.53517,19854.27467,30580.38333,26128.7444,8b - CGR_3day_annual_hist_2018
0.0005,33766.94508,18168.69461,25964.2708,23074.93749,8b - CGR_3day_annual_hist_2018
0.001,29378.22988,16884.93038,22937.98205,20897.81459,8b - CGR_3day_annual_hist_2018
0.002,25490.21071,15599.46139,20243.40151,18828.02818,8b - CGR_3day_annual_hist_2018
0.005,20990.7963,13863.70043,17098.69476,16244.86426,8b - CGR_3day_annual_hist_2018
0.01,17973.57254,12552.29482,14972.67791,14396.60307,8b - CGR_3day_annual_hist_2018
0.02,15231.62679,11227.41215,13014.96392,12629.48859,8b - CGR_3day_annual_hist_2018
0.05,12056.71227,9419.926082,10618.56735,10397.72992,8b - CGR_3day_annual_hist_2018
0.1,9895.553833,8020.391219,8900.809074,8765.435523,8b - CGR_3day_annual_hist_2018
0.2,7914.518959,6565.933417,7213.15927,7145.809898,8b - CGR_3day_annual_hist_2018
0.3,6786.025675,5675.686619,6209.315529,6177.485052,8b - CGR_3day_annual_hist_2018
0.5,5302.691484,4447.252826,4860.48789,4870.94997,8b - CGR_3day_annual_hist_2018
0.7,4180.46717,3477.621537,3818.302141,3855.510886,8b - CGR_3day_annual_hist_2018
0.8,3639.604917,2984.667176,3305.254697,3353.264709,8b - CGR_3day_annual_hist_2018
0.9,3027.922695,2397.899709,2710.137608,2769.524729,8b - CGR_3day_annual_hist_2018
0.95,2619.983914,1986.491193,2300.984388,2369.636362,8b - CGR_3day_annual_hist_2018
0.98,2247.672167,1592.64125,1909.383671,1992.49309,8b - CGR_3day_annual_hist_2018
0.99,2042.695183,1367.611119,1679.927799,1777.280036,8b - CGR_3day_annual_hist_2018
1.00E-06,117674.6964,50123.93942,90410.7898,76830.66284,4a - CGR_3day_winter_paleo_best_RRFT
2.00E-06,104253.0336,47166.69122,80368.59006,69934.01757,4a - CGR_3day_winter_paleo_best_RRFT
5.00E-06,88433.98605,43053.80779,68789.89231,61563.71411,4a - CGR_3day_winter_paleo_best_RRFT
1.00E-05,77968.5362,40132.67052,61145.26848,55757.4649,4a - CGR_3day_winter_paleo_best_RRFT
2.00E-05,68685.03857,37347.46217,54330.54516,50372.26595,4a - CGR_3day_winter_paleo_best_RRFT
5.00E-05,57727.8788,33630.5267,46429.36095,43853.97871,4a - CGR_3day_winter_paleo_best_RRFT
0.0001,50622.1589,30971.9602,41178.46263,39344.84919,4a - CGR_3day_winter_paleo_best_RRFT
0.0002,44179.42486,28367.19681,36466.17906,35172.54984,4a - CGR_3day_winter_paleo_best_RRFT
0.0005,36752.69076,25056.66264,30953.20455,30135.74191,4a - CGR_3day_winter_paleo_best_RRFT
0.001,31829.43603,22653.65745,27248.12865,26660.14595,4a - CGR_3day_winter_paleo_best_RRFT
0.002,27483.92053,20324.45084,23887.23096,23450.12187,4a - CGR_3day_winter_paleo_best_RRFT
0.005,22454.91937,17363.43839,19896.25394,19580.78996,4a - CGR_3day_winter_paleo_best_RRFT
0.01,19148.37635,15177.46274,17169.26983,16911.79429,4a - CGR_3day_winter_paleo_best_RRFT
0.02,16213.97351,13098.64195,14655.73956,14443.22003,4a - CGR_3day_winter_paleo_best_RRFT
0.05,12795.71296,10453.94325,11608.77252,11451.05828,4a - CGR_3day_winter_paleo_best_RRFT
0.1,10444.08473,8556.858271,9472.38766,9359.17399,4a - CGR_3day_winter_paleo_best_RRFT
0.2,8207.473644,6728.205224,7437.142135,7372.419735,4a - CGR_3day_winter_paleo_best_RRFT
0.3,6910.323429,5677.816229,6266.001917,6230.825119,4a - CGR_3day_winter_paleo_best_RRFT
0.5,5225.420913,4317.224641,4749.271333,4750.951329,4a - CGR_3day_winter_paleo_best_RRFT
0.7,3996.584568,3293.89562,3628.859236,3653.749009,4a - CGR_3day_winter_paleo_best_RRFT
0.8,3422.1551,2786.949934,3095.424585,3129.973037,4a - CGR_3day_winter_paleo_best_RRFT
0.9,2796.870822,2183.923428,2492.082179,2538.379439,4a - CGR_3day_winter_paleo_best_RRFT
0.95,2402.459025,1774.964425,2086.575955,2144.553842,4a - CGR_3day_winter_paleo_best_RRFT
0.98,2053.041292,1390.443349,1704.996899,1782.300987,4a - CGR_3day_winter_paleo_best_RRFT
0.99,1860.926304,1176.651839,1484.389595,1579.816528,4a - CGR_3day_winter_paleo_best_RRFT
1.00E-06,85796.09404,34703.13811,67143.28575,54486.91795,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
2.00E-06,77093.70286,33081.61736,60268.89437,50409.02481,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
5.00E-06,66685.72401,30896.31142,52285.19626,45343.04718,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
1.00E-05,59691.23334,29286.71949,46973.46756,41744.54401,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
2.00E-05,53351.47499,27655.01566,42206.62669,38337.49651,4b - CGR_3day_winter_paleo_best_RRFT_noPISBest
